loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R)
2023-02-25T18:28:04.904-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.954900625,0.0660247802734375,0.082000732421875,-0.9925689697265625,41368.941240625,-0.778379205388554,0.09190839205737363,0.05168630487973749,-0.5057941079139709,-0.006335352547466755,-0.08710089325904846,-0.02071837335824966,0.06768506765365601,-0.02160263061523438,XArbitraryZVertical,0.04130746877027385,0.03269399086373651,-0.3778133394838431,0.9243818232063851,0.09165648370981216,-0.05166329443454742,-0.9944496154785156,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.934-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41368.98837562501,0.1190338134765625,0.011444091796875,-0.88916015625,41368.941240625,-0.778379205388554,0.09190839205737363,0.05168630487973749,-0.5057941079139709,-0.006335352547466755,-0.08710089325904846,-0.02071837335824966,0.06768506765365601,-0.02160263061523438,XArbitraryZVertical,0.04130746877027385,0.03269399086373651,-0.3778133394838431,0.9243818232063851,0.09165648370981216,-0.05166329443454742,-0.9944496154785156,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:04.969-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41369.021890625,0.0305023193359375,-0.2673187255859375,-0.7118682861328125,41369.000804625,-0.7912976132915681,0.07971072334347408,0.02730771793103071,-0.0470091737806797,-0.3058829307556152,-0.4878107607364655,0.05182729661464691,-0.03386811167001724,0.1429527997970581,XArbitraryZVertical,0.0279436924554174,0.03150529099676252,-0.3845630047592247,0.9221376691089092,0.07959665358066559,-0.02730432339012623,-0.9964531064033508,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:05.003-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41369.055405625,0.147491455078125,-0.2354888916015625,-0.696685791015625,41369.000804625,-0.7912976132915681,0.07971072334347408,0.02730771793103071,-0.0470091737806797,-0.3058829307556152,-0.4878107607364655,0.05182729661464691,-0.03386811167001724,0.1429527997970581,XArbitraryZVertical,0.0279436924554174,0.03150529099676252,-0.3845630047592247,0.9221376691089092,0.07959665358066559,-0.02730432339012623,-0.9964531064033508,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:05.044-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41369.088920625,0.10113525390625,-0.1754608154296875,-0.628326416015625,41369.060368625,-0.7917672984238089,0.08064861932559161,-0.007691659768476345,-1.72265887260437,-0.08383307605981827,-0.2938459515571594,0.05007166415452957,-0.2210094034671783,0.2974709272384644,XArbitraryZVertical,0.01200019577536537,0.0386769516011245,-0.3854503806590994,0.9218394400425753,0.08055883646011353,0.007691584061831236,-0.9967201948165894,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071282.5146674,0,84.62,97.67506,1,0.7
2023-02-25T18:28:05.069-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41369.122395625,0.1248931884765625,-0.1887664794921875,-0.516265869140625,41369.060368625,-0.7917672984238089,0.08064861932559161,-0.007691659768476345,-1.72265887260437,-0.08383307605981827,-0.2938459515571594,0.05007166415452957,-0.2210094034671783,0.2974709272384644,XArbitraryZVertical,0.01200019577536537,0.0386769516011245,-0.3854503806590994,0.9218394400425753,0.08055883646011353,0.007691584061831236,-0.9967201948165894,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071285.0562788,0,84.84,97.67263,1,0.7
2023-02-25T18:28:05.103-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41369.15591062501,0.0713958740234375,-0.12493896484375,-0.4431915283203125,41369.119933625,-0.8241836920503317,0.06511790144322303,-0.1502007333289178,-3.158002614974976,-0.3826847672462463,-1.213373303413391,0.05663242936134338,-0.3392422795295715,0.460461437702179,XArbitraryZVertical,-0.05571055460720817,0.05977946198248197,-0.401424289489038,0.9122396409754734,0.06433925032615662,0.1496366113424301,-0.986645519733429,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071285.0562788,0,84.84,97.67263,1,0.7
2023-02-25T18:28:05.138-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41369.189425625,-0.0101165771484375,0.128692626953125,-0.464874267578125,41369.179497625,-0.9212451255099263,0.0003153213632943565,-0.3892042715562279,-4.541337966918945,-0.8385350704193115,-2.11658239364624,-1.707673072814941e-05,-0.3709836602210999,0.4778998494148254,XArbitraryZVertical,-0.1731529898597041,0.08609543097892888,-0.4361430038483957,0.87885424001773,0.0002917388919740915,0.3794523179531097,-0.9252112507820129,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071285.0562788,0,84.84,97.67263,1,0.7
2023-02-25T18:28:05.172-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41369.222939625,-0.139373779296875,0.614715576171875,-0.6132049560546875,41369.179497625,-0.9212451255099263,0.0003153213632943565,-0.3892042715562279,-4.541337966918945,-0.8385350704193115,-2.11658239364624,-1.707673072814941e-05,-0.3709836602210999,0.4778998494148254,XArbitraryZVertical,-0.1731529898597041,0.08609543097892888,-0.4361430038483957,0.87885424001773,0.0002917388919740915,0.3794523179531097,-0.9252112507820129,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071285.0562788,0,84.84,97.67263,1,0.7
2023-02-25T18:28:05.202-08:00,1677378484.001581,34.25690450674983,-118.5948908997849,299.3122,0,1.445086,11.59999856926072,180,1.603309728208074,6.39460851014268,-9999,41369.256415625,-0.3054962158203125,0.95220947265625,-0.772247314453125,41369.23906262501,-1.096375577390024,-0.1397589400830328,-0.6283614420602183,-3.094118356704712,-0.8520290851593018,-2.309438943862915,-0.1111350432038307,0.2463322281837463,0.1049063205718994,XArbitraryZVertical,-0.297716838033228,0.1039846308667962,-0.4760058564995184,0.8209568938536225,-0.1126961186528206,0.5878199934959412,-0.8011037707328796,0,0,0,-1,-1,41358.88355266667,walking,2,2023-02-25T18:27:54.828-08:00,2023-02-23T12:03:25.234-08:00,5104,1.557456,0.7858028,1.557423,4031.516,6,4,2023-02-25T18:27:57.369-08:00,699071285.0562788,0,84.84,97.67263,1,0.7
