loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationSpeedAccuracy,locationCourse,locationCourseAccuracy,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_Timestamp_since1970,IP_en0,IP_pdp_ip0,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,batteryTimeStamp_since1970,batteryState,batteryLevel,label
1676829296.981637,1,1676829296.000769,34.05290226284281,-117.8198615050954,217.7133,1.132366,1.160669,32.38695841216376,41.53322958235979,3.248612059345874,4.824008366562127,-9999,1676829296.976849,-4.49627685546875,9.479316711425781,-40.53533935546875,37.92271041870117,26.44048309326172,12.06821250915527,1764210.351121625,0.220703125,-0.2159576416015625,-1.138702392578125,1764210.346141625,0.4453921318054199,-1.822460770606995,-0.7209184765815735,1764210.342786625,-145.8905639648438,84.37350463867188,-323.2167053222656,1764210.306303625,-0.950366208195024,0.1936982656043003,0.2105597607121298,-0.03877829387784004,-0.5689918994903564,-0.1183822974562645,0.1294499635696411,-0.0479048490524292,-0.1278830170631409,2,0.1369994943848127,0.03765701975272123,-0.4438003596298408,0.8847905948359616,0.1882380098104477,-0.2090073376893997,-0.9596261978149414,-2.102706909179688,9.65350341796875,-40.42874145507812,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
1676829297.04518,2,1676829296.000769,34.05290226284281,-117.8198615050954,217.7133,1.132366,1.160669,32.38695841216376,41.53322958235979,3.248612059345874,4.824008366562127,-9999,1676829297.03657,-7.26934814453125,6.763473510742188,-40.39974975585938,40.46305465698242,28.98082733154297,12.06962108612061,1764210.410879625,-0.006072998046875,-0.2380218505859375,-1.317657470703125,1764210.405899625,1.228281021118164,-0.209805965423584,-0.4805708825588226,1764210.402836625,-148.3015747070312,81.56050109863281,-322.9417724609375,1764210.366060625,-0.987991293166683,0.1178645831166084,0.2260719255766069,1.063613533973694,-0.9130224585533142,-0.6025506854057312,-0.01859140396118164,0.05636553466320038,-0.06211429834365845,2,0.126885993328247,-0.001863122256668827,-0.4644546376417891,0.8764579253795919,0.1145996823906898,-0.2241511344909668,-0.9677929282188416,-5.911056518554688,8.601898193359375,-39.99777221679688,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
1676829297.10124,3,1676829296.000769,34.05290226284281,-117.8198615050954,217.7133,1.132366,1.160669,32.38695841216376,41.53322958235979,3.248612059345874,4.824008366562127,-9999,1676829297.096596,-7.8385009765625,4.809799194335938,-40.69891357421875,42.39652252197266,30.91429710388184,12.0707368850708,1764210.470636625,0.027740478515625,-0.236328125,-1.18994140625,1764210.465656625,0.1860545575618744,-0.4319237172603607,-0.402429461479187,1764210.462888625,-148.9135437011719,79.73625183105469,-323.171142578125,1764210.425818625,-1.028548258103246,0.1052794000607411,0.2941090951096394,0.9036601185798645,-0.1504692286252975,-0.4899885952472687,-0.07783719152212143,0.05047699809074402,-0.335256040096283,2,0.1529977115117346,-0.02666113956298812,-0.4792076082483228,0.8638523762505572,0.100572757422924,-0.2898873090744019,-0.951761782169342,-7.464874267578125,6.307777404785156,-40.41226196289062,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
1676829297.164861,4,1676829296.000769,34.05290226284281,-117.8198615050954,217.7133,1.132366,1.160669,32.38695841216376,41.53322958235979,3.248612059345874,4.824008366562127,-9999,1676829297.156088,-8.870574951171875,4.562042236328125,-40.04718017578125,43.07648086547852,31.5942554473877,12.07252407073975,1764210.530394625,-0.0622711181640625,-0.2095794677734375,-0.9715118408203125,1764210.525414625,0.392978698015213,-0.2349121123552322,0.09894468635320663,1764210.522939625,-149.9796447753906,79.46891784667969,-322.4789428710938,1764210.485576625,-1.058142362102587,0.0933519427690198,0.3138520088788097,0.0001106229610741138,-0.5286381244659424,-0.2130838632583618,-0.08275780081748962,0.0835050642490387,-0.2357445359230042,2,0.1580291435158766,-0.03901026017031128,-0.4916918076388773,0.8554204143013784,0.08866292238235474,-0.3087247610092163,-0.9470099806785583,-8.288467407226562,4.750396728515625,-40.48562622070312,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
1676829297.220893,5,1676829297.000778,34.05290581730819,-117.819859131689,217.4923,0.7269142,1.262345,32.33580355240222,68.40122895639099,3.256090083987167,4.818964037814485,-9999,1676829297.21612,-9.616287231445312,2.957687377929688,-39.97787475585938,43.4378776550293,31.95565223693848,12.07431125640869,1764210.590152625,0.013397216796875,-0.2935638427734375,-0.9001312255859375,1764210.585172625,0.447070986032486,-0.6079898476600647,-0.2601064145565033,1764210.582989625,-150.6201324462891,77.691162109375,-322.427978515625,1764210.545333625,-1.058728050436578,0.07385016561460299,0.3298211645182891,0.5994677543640137,-0.3492612242698669,0.09859847277402878,-0.1202670186758041,0.1001952886581421,0.01981544494628906,2,0.1599875810452967,-0.05141229792069894,-0.4925629735505244,0.8538983051335276,0.06980616599321365,-0.3238738477230072,-0.9435214996337891,-8.953399658203125,4.187644958496094,-39.72720336914062,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
1676829297.284419,6,1676829297.000778,34.05290581730819,-117.819859131689,217.4923,0.7269142,1.262345,32.33580355240222,68.40122895639099,3.256090083987167,4.818964037814485,-9999,1676829297.2759,-10.73892211914062,2.694770812988281,-39.38140869140625,44.8388557434082,33.35662841796875,12.07603645324707,1764210.649909625,0.011383056640625,-0.307342529296875,-0.8390350341796875,1764210.644929625,-0.0278374906629324,-0.2961224615573883,-0.2628715634346008,1764210.643035625,-151.8567962646484,77.5718994140625,-321.85693359375,1764210.605091625,-1.07058493215114,0.04614168633174717,0.3592130988008714,0.1880280673503876,-0.4624124765396118,-0.3617028892040253,-0.05107012391090393,0.05716514587402344,0.04061555862426758,2,0.165190902371535,-0.07157719036595575,-0.4982091053066624,0.8481606613431694,0.04318130761384964,-0.351537674665451,-0.9351773262023926,-9.97296142578125,2.718681335449219,-40.00933837890625,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
1676829297.340328,7,1676829297.000778,34.05290581730819,-117.819859131689,217.4923,0.7269142,1.262345,32.33580355240222,68.40122895639099,3.256090083987167,4.818964037814485,-9999,1676829297.335563,-11.08741760253906,2.707344055175781,-39.36416625976562,45.67708587646484,34.19485855102539,12.07766437530518,1764210.709667625,0.0220947265625,-0.33599853515625,-0.724365234375,1764210.704687625,0.4158925414085388,0.08591330796480179,-0.1313926428556442,1764210.703089625,-152.1212921142578,77.7506103515625,-321.9754333496094,1764210.664849625,-1.090014526170799,0.0333139353702325,0.3598403497758148,0.07336762547492981,-0.2553141415119171,-0.2272002846002579,-0.002457499504089355,0.02964559197425842,0.1243680715560913,2,0.1614996064746172,-0.07874650592309952,-0.5074363136380095,0.8427486147973784,0.03117451258003712,-0.352124810218811,-0.9354337453842163,-10.69386291503906,2.572975158691406,-39.75692749023438,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
1676829297.401259,8,1676829297.000778,34.05290581730819,-117.819859131689,217.4923,0.7269142,1.262345,32.33580355240222,68.40122895639099,3.256090083987167,4.818964037814485,-9999,1676829297.395142,-10.99528503417969,1.744537353515625,-38.89865112304688,45.99861907958984,34.51639175415039,12.07907485961914,1764210.769425625,0.084991455078125,-0.4225311279296875,-0.7405853271484375,1764210.764445625,-0.004197940696030855,-0.220849022269249,-0.1182994768023491,1764210.763142625,-152.1216125488281,76.70001220703125,-321.3349914550781,1764210.724606625,-1.101295187418376,0.03555794257831205,0.3779858192833504,0.3878318667411804,0.07425738871097565,-0.07021503895521164,0.000162169337272644,-0.002914249897003174,0.2135208249092102,2,0.169211251648505,-0.08340492881464984,-0.510994918084498,0.838626945840679,0.03304093703627586,-0.3690492212772369,-0.9288223385810852,-10.61344909667969,2.099960327148438,-39.2015380859375,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
1676829297.460019,9,1676829297.000778,34.05290581730819,-117.819859131689,217.4923,0.7269142,1.262345,32.33580355240222,68.40122895639099,3.256090083987167,4.818964037814485,-9999,1676829297.454847,-11.19306945800781,2.401969909667969,-38.96249389648438,46.28182601928711,34.79959869384766,12.08017063140869,1764210.829182625,0.0387725830078125,-0.4429473876953125,-0.801788330078125,1764210.824202625,-0.2777184247970581,0.1879605799913406,0.04606442898511887,1764210.823199625,-152.1155395507812,77.47625732421875,-321.5028076171875,1764210.784364625,-1.107903487338971,0.03062313549668809,0.3843233074439852,-0.182971715927124,-0.2129148989915848,-0.12757608294487,0.02933916449546814,-0.050162672996521,0.1683474183082581,2,0.1703074857205463,-0.08767269546525644,-0.5138220648107032,0.8362391153281588,0.02838481403887272,-0.3749319016933441,-0.9266177415847778,-11.01373291015625,1.816246032714844,-38.77017211914062,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
1676829297.521448,10,1676829297.000778,34.05290581730819,-117.819859131689,217.4923,0.7269142,1.262345,32.33580355240222,68.40122895639099,3.256090083987167,4.818964037814485,-9999,1676829297.514675,-11.09249877929688,2.902885437011719,-38.84487915039062,45.78640365600586,34.30417633056641,12.08099555969238,1764210.888940625,0.0529632568359375,-0.47479248046875,-0.98687744140625,1764210.883960625,-0.1045871302485466,-0.1294344216585159,0.2173584252595901,1764210.883252625,-152.1295623779297,77.87625122070312,-321.4276733398438,1764210.844122625,-1.107500521337117,0.03470966705390548,0.3689270291534246,-0.1924704611301422,0.06080818921327591,0.1260139644145966,0.02396769449114799,-0.1091421544551849,0.107415497303009,2,0.1649564957538882,-0.08193193268842666,-0.5141738295935523,0.8376764779159669,0.03236772119998932,-0.3606148660182953,-0.932153046131134,-11.04298400878906,2.655487060546875,-38.79693603515625,-1,2,1763844.561046667,4,2,1676828931.179837,1676828598.712269,1204,0.7473277,0.7481842,1.748741,928.9139,0,1,1676829292.91012,1764207.480469,0,1.720154,99.14874,1676829296.9607,0,182416158,0,0,1,1676829296.929455,1,0.56,1
