loggingTime,loggingSample,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationSpeedAccuracy,locationCourse,locationCourseAccuracy,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerAverageActivePace,pedometerCurrentPace,pedometerCurrentCadence,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_Timestamp_since1970,IP_en0,IP_pdp_ip0,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,batteryTimeStamp_since1970,batteryState,batteryLevel,label
1676669838.955268,1,1676669835.678652,34.21412558773279,-118.3864093768145,243.9025,-1,-1,-1,-1,4.190784454345703,7.856033639443082,-1,1676669838.950505,17.32965850830078,14.90431213378906,-35.38418579101562,350.6524658203125,339.013671875,12.67826557159424,1677557.394807542,0.2288818359375,-0.2365264892578125,-0.9491729736328125,1677557.394807542,0.05736928433179855,-0.3618303835391998,-0.1244077086448669,1677557.377325542,-119.2085571289062,103.3931427001953,-326.6178894042969,1677557.358707542,0.09369901184793798,0.2393769424642536,0.2281641069772822,-0.02966382727026939,-0.06271062791347504,-0.04325561225414276,-0.009456023573875427,0.009392768144607544,0.003925323486328125,2,0.1073407856583307,0.123789605771407,0.059772364928528,0.9846732382355217,0.2309526056051254,-0.226189598441124,-0.9463081955909729,17.53766632080078,15.02346038818359,-35.72930908203125,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677554.913251,0,0.06077576,98.57774,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.014831,2,1676669835.678652,34.21412558773279,-118.3864093768145,243.9025,-1,-1,-1,-1,4.190784454345703,7.856033639443082,-1,1676669839.010246,16.80671691894531,15.43413543701172,-36.34619140625,351.3263244628906,339.6875305175781,12.67828750610352,1677557.454559542,0.197265625,-0.23223876953125,-0.95538330078125,1677557.454559542,-0.03695615381002426,-0.2641107439994812,-0.1078388467431068,1677557.437386542,-119.8766937255859,103.960205078125,-327.2685852050781,1677557.418459542,0.08629433290337356,0.2232500558559226,0.2290312476070778,0.06508722901344299,-0.4289188981056213,-0.1693556308746338,0.02009904384613037,-0.007493346929550171,0.002421736717224121,2,0.1086753294513452,0.1154588043401421,0.05530115139276198,0.9857994749185378,0.2156187146902084,-0.2270341813564301,-0.9497178792953491,17.21337890625,15.06331634521484,-35.67337036132812,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677554.913251,0,0.06077576,98.57774,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.074575,3,1676669835.678652,34.21412558773279,-118.3864093768145,243.9025,-1,-1,-1,-1,4.190784454345703,7.856033639443082,-1,1676669839.069649,15.88753509521484,15.15785980224609,-36.50283813476562,351.4644470214844,339.8256530761719,12.6783618927002,1677557.514311542,0.2025909423828125,-0.2056427001953125,-0.9730224609375,1677557.514311542,0.04347157850861549,0.1584682017564774,0.08362618833780289,1677557.497446542,-120.5962066650391,104.1889953613281,-326.8580017089844,1677557.478212542,0.0794806131488888,0.2078076281849983,0.226117857012111,-0.1186042577028275,-0.07564617693424225,-0.05589151009917259,-0.006467923521995544,-0.01353597640991211,-0.02155083417892456,2,0.1080268405836011,0.1074315121215254,0.05095522712287576,0.9870116888672158,0.2010632455348969,-0.2241958975791931,-0.9535773396492004,16.03945922851562,15.43788909912109,-36.66738891601562,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677555.913827,0,0.07926941,98.57754,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.134343,4,1676669835.678652,34.21412558773279,-118.3864093768145,243.9025,-1,-1,-1,-1,4.190784454345703,7.856033639443082,-1,1676669839.129831,16.57997894287109,15.32961273193359,-36.8035888671875,351.4525451660156,339.8137512207031,12.67846393585205,1677557.574064542,0.1766357421875,-0.2468719482421875,-0.966094970703125,1677557.574064542,-0.00449754623696208,-0.2799954414367676,0.07667533308267593,1677557.557510542,-120.7474517822266,103.7028503417969,-327.3895874023438,1677557.537964542,0.08003520546841311,0.211566892827737,0.2271379030054229,0.1859813332557678,0.03948508948087692,0.01469836756587029,-0.04811958968639374,-0.0303947776556015,-0.0372469425201416,2,0.1084043217529072,0.1093305392695627,0.05148299157092034,0.9867343663274142,0.2045984417200089,-0.2251898646354675,-0.9525906443595886,16.32984924316406,15.38285827636719,-36.14523315429688,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677555.913827,0,0.07926941,98.57754,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.193978,5,1676669835.678652,34.21412558773279,-118.3864093768145,243.9025,-1,-1,-1,-1,4.190784454345703,7.856033639443082,-1,1676669839.189154,15.62359619140625,15.320068359375,-36.68792724609375,351.257080078125,339.6182861328125,12.67853164672852,1677557.633816542,0.1774139404296875,-0.260345458984375,-0.925262451171875,1677557.633816542,-0.1302442848682404,-0.1252857446670532,0.01638136990368366,1677557.617570542,-120.9105072021484,104.0927886962891,-327.3385620117188,1677557.597716542,0.08209853709566885,0.2016925812180499,0.2306267301380072,-0.05106237530708313,-0.1404492855072021,0.1085969060659409,-0.01208625733852386,0.05659069120883942,0.07176989316940308,2,0.1102729194120096,0.1046203210767489,0.05213184163479889,0.9870039078316881,0.1950238645076752,-0.2285877019166946,-0.9537889361381531,16.06018829345703,15.40956878662109,-36.340576171875,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677555.913827,0,0.07926941,98.57754,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.253875,6,1676669835.678652,34.21412558773279,-118.3864093768145,243.9025,-1,-1,-1,-1,4.190784454345703,7.856033639443082,-1,1676669839.249372,15.45111846923828,15.60269165039062,-36.5755615234375,351.1222839355469,339.4834899902344,12.67861652374268,1677557.693568542,0.1781768798828125,-0.196441650390625,-0.9544525146484375,1677557.693568542,-0.2286337167024612,-0.1849056631326675,0.1289657056331635,1677557.677628542,-121.2443084716797,104.1194610595703,-327.9610900878906,1677557.657468542,0.08541354207545941,0.192912285626649,0.2240237435028725,-0.2418883442878723,-0.1563011109828949,0.01496255490928888,-0.03336276113986969,0.01159863173961639,0.02514708042144775,2,0.1070708373952795,0.1003658819794651,0.05298415445400645,0.9877526376182479,0.1869272142648697,-0.2221546024084091,-0.9569250345230103,15.50843048095703,15.24623107910156,-36.82028198242188,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677555.913827,0,0.07926941,98.57754,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.313542,7,1676669835.678652,34.21412558773279,-118.3864093768145,243.9025,-1,-1,-1,-1,4.190784454345703,7.856033639443082,-1,1676669839.308703,15.76708221435547,15.62179565429688,-36.60089111328125,349.9953002929688,338.3565063476562,12.67872047424316,1677557.753320542,0.2194976806640625,-0.1566009521484375,-1.017913818359375,1677557.753320542,-0.03295235708355904,0.2107774764299393,0.5855489373207092,1677557.737688542,-121.2319641113281,104.2907104492188,-327.50244140625,1677557.717221542,0.0938960879577956,0.1810425578765248,0.2125934161336055,-0.05867887660861015,-0.1097135245800018,0.2290592640638351,-0.006995275616645813,0.05772115290164948,-0.004064738750457764,2,0.1013273488076796,0.09474726205196494,0.05605518112613661,0.9887433630348751,0.1760016083717346,-0.2109956443309784,-0.9615114331245422,14.97665405273438,15.58605194091797,-36.60067749023438,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677555.913827,0,0.07926941,98.57754,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.373446,8,1676669839.172251,34.21416130780695,-118.3864208137508,246.5355,0,2.049374,-1,-1,10.61956061772579,18.74279267270661,-9999,1676669839.368783,16.24506378173828,15.31781768798828,-36.25482177734375,347.8229064941406,336.1841125488281,12.67885398864746,1677557.813073542,0.217071533203125,-0.18902587890625,-0.894256591796875,1677557.813073542,-0.2184343338012695,-0.03945233300328255,0.5724025368690491,1677557.797747542,-120.0847320556641,104.1921539306641,-327.2206420898438,1677557.776973542,0.1247539629924448,0.1835390241891473,0.2159768010599142,-0.1387607604265213,0.2090691775083542,0.6358643174171448,0.05088634788990021,0.01824153959751129,0.01305031776428223,2,0.1014371063379094,0.09762003951231953,0.07157035991371313,0.9874504629104923,0.1782701313495636,-0.2143016308546066,-0.960361659526825,16.19136810302734,15.65769958496094,-36.42108154296875,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677555.913827,0,0.07926941,98.57754,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.433279,9,1676669839.172251,34.21416130780695,-118.3864208137508,246.5355,0,2.049374,-1,-1,10.61956061772579,18.74279267270661,-9999,1676669839.428239,17.06602478027344,15.07470703125,-35.92291259765625,345.9541320800781,334.3153381347656,12.67899227142334,1677557.872825542,0.046142578125,-0.3072357177734375,-1.012741088867188,1677557.872825542,-0.4635940194129944,0.9351122975349426,-0.1765529364347458,1677557.857806542,-120.1532897949219,103.3848724365234,-327.1560363769531,1677557.836725542,0.1640804829812866,0.1753209251955973,0.2104277725602311,-0.2253856211900711,-0.1690133213996887,0.7288167476654053,0.00416700541973114,0.01464918255805969,0.09075802564620972,2,0.09713000648735129,0.09534441908270462,0.09034553843431598,0.9865662359254256,0.1705766469240189,-0.2088782489299774,-0.9629504084587097,16.45519256591797,15.12671661376953,-36.1663818359375,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677555.913827,0,0.07926941,98.57754,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.492964,10,1676669839.172251,34.21416130780695,-118.3864208137508,246.5355,0,2.049374,-1,-1,10.61956061772579,18.74279267270661,-9999,1676669839.488028,18.36171722412109,15.84117889404297,-35.10198974609375,346.1913452148438,334.5525512695312,12.67913246154785,1677557.932577542,0.1803436279296875,-0.27337646484375,-0.911468505859375,1677557.932577542,-0.3649742305278778,0.5415742993354797,0.2283713817596436,1677557.917870542,-118.3202362060547,104.6800994873047,-326.193115234375,1677557.896477542,0.1737873499970615,0.1975753902193746,0.190765790131319,0.01781252026557922,-0.007257946766912937,-0.4775820076465607,-0.1671273410320282,-0.02532440423965454,-0.2416185736656189,2,0.08589604058612313,0.1060332755457847,0.09532633838628463,0.9860484820535483,0.1927315890789032,-0.1896108537912369,-0.9627576470375061,17.22850036621094,15.4339599609375,-35.51809692382812,-1,2,1677557.308914542,2,0,1676669838.8634,0,0,0,0,0,0,0,0,0,1677555.913827,0,0.07926941,98.57754,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
1676669839.552675,11,1676669839.172251,34.21416130780695,-118.3864208137508,246.5355,0,2.049374,-1,-1,10.61956061772579,18.74279267270661,-9999,1676669839.547756,19.68095397949219,16.9439697265625,-33.7384033203125,345.4259948730469,333.7872009277344,12.67927646636963,1677557.992329542,0.281524658203125,-0.167022705078125,-0.8945465087890625,1677557.992329542,-0.6655652523040771,0.4976974129676819,-0.1188528835773468,1677557.977931542,-117.1573181152344,105.2098083496094,-325.1364135742188,1677557.956229542,0.182531077643777,0.2317724170505915,0.1760637107687738,-0.4950510859489441,0.7265639305114746,0.1637818515300751,-0.001206815242767334,0.02368155121803284,0.08976095914840698,2,0.07646774754102786,0.1226589194693929,0.1003004530224233,0.9844020360283069,0.2261518836021423,-0.1751555055379868,-0.9582149386405945,18.59438323974609,15.88362121582031,-34.7237548828125,-1,2,1677557.946271542,4,2,1676669839.500757,0,0,0,0,0,0,0,0,0,1677555.913827,0,0.07926941,98.57754,1676669838.938333,167772201,182416158,0,0,1,1676669838.911374,1,0.4,1
