loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),label
2023-02-16T17:50:34.252-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.53183,0.27986145,-0.200164795,-0.986663818,50888.51181,1.656540196,0.161818418,0.281214075,0.17992419,0.35631007,0.01775733,0.067505538,0.182917744,-0.077649534,XArbitraryZVertical,-0.035490447,-0.157023152,-0.734763813,-0.658943196,0.154784486,-0.277522236,-0.948168337,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698284708.7,0,-102.93,100.5062,1,0.54,0
2023-02-16T17:50:34.287-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.56562,0.270446777,-0.236434937,-0.928009033,50888.54184,1.660111802,0.168809778,0.280841149,-0.278070688,0.167969659,0.184554204,0.118434429,0.076999158,-0.039498866,XArbitraryZVertical,-0.032511392,-0.159249896,-0.736066672,-0.657105964,0.161427006,-0.277163953,-0.947164953,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698284708.7,0,-102.93,100.5062,1,0.54,0
2023-02-16T17:50:34.317-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.59937,0.204284668,-0.190567017,-0.855499268,50888.57186,1.67009984,0.169443012,0.267853209,-0.605962813,0.068371825,0.304430604,0.114540502,0.030622512,0.013213933,XArbitraryZVertical,-0.02712396,-0.154915747,-0.739639687,-0.654368692,0.162620112,-0.264661819,-0.950530827,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698284708.7,0,-102.93,100.5062,1,0.54,0
2023-02-16T17:50:34.353-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.63316,0.163101196,-0.163726807,-0.956893921,50888.60189,1.683927204,0.168547477,0.251933542,-0.588513553,0.127337873,0.374348342,0.057607144,0.064233601,0.092968941,XArbitraryZVertical,-0.021082846,-0.148999976,-0.744458547,-0.650488985,0.162455082,-0.249276936,-0.954709053,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698284708.7,0,-102.93,100.5062,1,0.54,0
2023-02-16T17:50:34.387-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.66694,0.179748535,-0.113571167,-0.981994629,50888.66194,1.709323782,0.17161352,0.220575243,-0.361917526,0.081608474,0.162721038,0.026907578,0.127482384,-0.058764458,XArbitraryZVertical,-0.007732326,-0.138640298,-0.753199738,-0.642969058,0.166634873,-0.218790963,-0.961438179,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698284708.7,0,-102.93,100.5062,1,0.54,0
2023-02-16T17:50:34.422-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.70073,0.14465332,-0.190246582,-0.781311035,50888.69196,1.713297689,0.17213994,0.213487368,-0.172019094,0.033769041,0.01046493,-0.009977505,0.050110966,0.081445277,XArbitraryZVertical,-0.004934337,-0.136193456,-0.754568336,-0.641914068,0.167402402,-0.211869374,-0.962853968,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698291434.3,0,-27.29,100.633,1,0.54,0
2023-02-16T17:50:34.453-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.73449,0.116317749,-0.241424561,-0.842315674,50888.72199,1.7124096,0.173915918,0.208948197,-0.131362215,0.070376389,-0.110335022,-0.031596795,-0.007061705,0.192343771,XArbitraryZVertical,-0.002835908,-0.135076768,-0.754338939,-0.642432041,0.169276819,-0.207431093,-0.963492453,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698291434.3,0,-27.29,100.633,1,0.54,0
2023-02-16T17:50:34.488-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.76827,0.149047852,-0.257919312,-0.940429688,50888.75202,1.709346668,0.17701484,0.204716599,-0.091465071,0.077089489,-0.126519486,-0.057973921,-0.04384166,0.089490056,XArbitraryZVertical,-0.0004848,-0.134500657,-0.753400014,-0.643659713,0.172414809,-0.203289688,-0.963818669,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698291434.3,0,-27.29,100.633,1,0.54,0
2023-02-16T17:50:34.523-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.80206,0.134567261,-0.243438721,-0.840072632,50888.78204,1.706741787,0.178244155,0.202362421,0.005417207,-0.081012137,-0.061824314,-0.018303677,-0.069325343,0.024041355,XArbitraryZVertical,0.000577428,-0.134024275,-0.752582535,-0.644714418,0.173683897,-0.200984105,-0.964074314,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698291434.3,0,-27.29,100.633,1,0.54,0
2023-02-16T17:50:34.557-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.83584,0.111328125,-0.289489746,-0.824752808,50888.81207,1.704456486,0.175174424,0.205466894,0.219130456,-0.1018015,-0.065669551,-0.036046818,-0.039414465,0.123911262,XArbitraryZVertical,-0.001752738,-0.134182651,-0.751815573,-0.64557352,0.170614064,-0.204024255,-0.963983893,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698291434.3,0,-27.29,100.633,1,0.54,0
2023-02-16T17:50:34.601-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.8696,0.146728516,-0.264526367,-1.016662598,50888.84209,1.700078055,0.174474366,0.212728922,0.249445215,0.000811026,-0.129967913,-0.053481862,-0.070457593,0.152788877,XArbitraryZVertical,-0.00470811,-0.136632936,-0.750323747,-0.646779319,0.169677496,-0.211128086,-0.96261853,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698291434.3,0,-27.29,100.633,1,0.54,0
2023-02-16T17:50:34.623-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.90338,0.158203125,-0.198913574,-1.017211914,50888.87212,1.694661887,0.17582917,0.218405357,0.237674832,-0.038360409,-0.139344081,-0.045113012,-0.073915243,-0.017002881,XArbitraryZVertical,-0.00645186,-0.139148187,-0.748508784,-0.648329171,0.17076911,-0.216673136,-0.96119231,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698291434.3,0,-27.29,100.633,1,0.54,0
2023-02-16T17:50:34.658-08:00,1676598634,34.068392,-118.4436029,118.151,0.974275,1.223531,271.1878357,48.66656998,9.994922861,14.30113108,-9999,50888.93717,0.193939209,-0.271438599,-1.059082031,50888.93217,1.684506831,0.169346754,0.244775221,0.417801529,-0.224185064,-0.07222566,0.027632162,0.032026365,-0.073303998,XArbitraryZVertical,-0.018357967,-0.146650397,-0.744784989,-0.650731731,0.163514659,-0.242338255,-0.956313312,0,0,0,-1,-1,50883.8379,unknown,2,2023-02-16T17:50:29.557-08:00,2023-02-14T17:43:35.488-08:00,12139,1.164347,0.8021268,1.822169,9022.311,25,31,2023-02-16T17:50:29.557-08:00,698291434.3,0,-27.29,100.633,1,0.54,0
