loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),label
2023-02-21T15:37:16.276-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.1352,0.052841187,0.251922607,-1.22567749,339643.1051,-0.107686367,-0.043606771,-0.077522042,-0.080566943,-0.061596375,0.348926127,0.043645144,0.038629174,-0.332777977,XArbitraryZVertical,-0.039858387,-0.019668722,-0.052920353,0.997608987,-0.043462027,0.077444419,-0.996048927,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
2023-02-21T15:37:16.311-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.1702,0.044433594,0.235351563,-1.14302063,339643.1652,-0.097141859,-0.045970279,-0.107470871,-0.771850288,-0.217926532,-0.067625202,0.125873908,0.125234038,-0.248457968,XArbitraryZVertical,-0.054746329,-0.020315867,-0.047235991,0.997175442,-0.045688961,0.107264109,-0.993180215,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
2023-02-21T15:37:16.347-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.2052,-0.049438477,0.193695068,-1.064605713,339643.1952,-0.102701253,-0.052537067,-0.121861739,-0.121335842,-0.150982574,-0.193612739,-0.029266898,0.095877379,-0.102062464,XArbitraryZVertical,-0.062137585,-0.023057764,-0.049617855,0.996566757,-0.052123468,0.12156035,-0.991214514,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
2023-02-21T15:37:16.381-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.2402,-0.067138672,0.257537842,-1.017349243,339643.2252,-0.10863344,-0.05710318,-0.120777025,0.120465018,-0.066177145,-0.17898944,-0.014327474,0.130401373,-0.062766254,XArbitraryZVertical,-0.061785281,-0.025178483,-0.052448604,0.996392333,-0.056656398,0.120483607,-0.991097271,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
2023-02-21T15:37:16.416-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.2753,-0.028701782,0.189407349,-0.883728027,339643.2553,-0.113565273,-0.058387217,-0.118951136,-0.060251653,-0.022707034,-0.171528667,0.014850892,0.110348329,0.003799617,XArbitraryZVertical,-0.060973056,-0.025718951,-0.0548954,0.996296827,-0.057941698,0.118670821,-0.991241634,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
2023-02-21T15:37:16.451-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.3103,-0.05847168,0.138595581,-0.940460205,339643.2853,-0.118292015,-0.059049896,-0.121500136,-0.060442284,-0.002297233,-0.138569713,0.02987875,0.068205908,0.107169807,XArbitraryZVertical,-0.062321927,-0.02582742,-0.057187628,0.996081504,-0.058580518,0.121201418,-0.990897834,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
2023-02-21T15:37:16.486-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.3453,-0.05406189,0.186080933,-0.849624634,339643.3153,-0.121695528,-0.060001952,-0.124812317,-0.254725575,-0.046161361,-0.086187996,0.006902449,0.036979966,0.046419978,XArbitraryZVertical,-0.064042775,-0.026091917,-0.058797253,0.99587173,-0.059499484,0.12448851,-0.990435481,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
2023-02-21T15:37:16.521-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.3804,-0.101577759,0.104049683,-0.806869507,339643.3754,-0.131356616,-0.066629575,-0.138143628,-0.024721092,-0.112998977,-0.222718686,-0.04757937,-0.038385242,0.1935063,XArbitraryZVertical,-0.071010758,-0.028630416,-0.06314437,0.995063065,-0.065945998,0.13770467,-0.988275528,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
2023-02-21T15:37:16.556-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.4154,-0.086105347,0.047592163,-0.824584961,339643.4054,-0.139225998,-0.071073377,-0.138491161,-0.123877294,-0.120612621,-0.291835725,-0.010309055,-0.069582716,0.163095832,XArbitraryZVertical,-0.071444477,-0.030548605,-0.066893967,0.99472989,-0.07033363,0.138048872,-0.987924933,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
2023-02-21T15:37:16.591-08:00,1677022636,34.06429551,-118.4499048,118.939,1.16,0.71,327.9424438,36.63766405,6,14.28075724,-9999,339643.4504,-0.112625122,0.153076172,-0.843139648,339643.4354,-0.14962787,-0.076920167,-0.143735629,-0.12377651,-0.182448223,-0.333368808,-0.008039258,-0.063468292,0.146917701,XArbitraryZVertical,-0.074418693,-0.032880961,-0.071742832,0.99409941,-0.076051906,0.143241212,-0.986761391,0,0,0,-1,-1,339639.0919,unknown,2,2023-02-21T15:37:12.232-08:00,2023-02-14T17:43:35.488-08:00,40898,1.273659,0.6287907,2.064428,30353.41,78,100,2023-02-21T15:37:14.794-08:00,698715434.9,0,-1.16,99.33019,1,0.51,0
