loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),label
2023-02-22T18:09:14.134-08:00,1677118153,34.05930052,-118.448817,97.88905,1.11,0.7,317.8124955,38.56641043,3.593520605,4.572870728,-9999,362771.2956,-0.203826904,-0.092269897,-1.053329468,362771.2756,0.057042993,-0.198241519,0.102081229,0.396697044,0.016518299,-0.162353575,-0.039065003,5.85E-06,-0.046738327,XArbitraryZVertical,0.053565772,-0.097341674,0.023294038,0.9935355,-0.195920348,-0.101904027,-0.975310624,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,5,0.9831617,0.8229022,1.776166,3.420883,0,0,2023-02-22T18:09:11.511-08:00,0,0,0,0,1,0.2,0
2023-02-22T18:09:14.168-08:00,1677118153,34.05930052,-118.448817,97.88905,1.11,0.7,317.8124955,38.56641043,3.593520605,4.572870728,-9999,362771.3307,-0.14666748,-0.240447998,-1.117874146,362771.3056,0.056523682,-0.199823602,0.112220587,0.34370178,-0.029276952,-0.289620936,-0.006578997,0.019715309,-0.079392791,XArbitraryZVertical,0.058593078,-0.097972074,0.022481317,0.993208429,-0.197247878,-0.111985192,-0.973936677,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,9,0.9103349,0.8229022,1.776166,6.15759,0,0,2023-02-22T18:09:14.073-08:00,0,0,0,0,1,0.2,0
2023-02-22T18:09:14.203-08:00,1677118153,34.05930052,-118.448817,97.88905,1.11,0.7,317.8124955,38.56641043,3.593520605,4.572870728,-9999,362771.3657,-0.188476563,-0.248748779,-1.22505188,362771.3357,0.046348955,-0.195342064,0.134477544,0.411188155,-0.05335559,-0.342999667,-0.013872862,-0.035818771,-0.150418758,XArbitraryZVertical,0.06910451,-0.095719842,0.016459705,0.992870304,-0.192349657,-0.134072587,-0.972124577,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,9,0.9103349,0.8229022,1.776166,6.15759,0,0,2023-02-22T18:09:14.073-08:00,0,0,0,0,1,0.2,0
2023-02-22T18:09:14.238-08:00,1677118153,34.05930052,-118.448817,97.88905,1.11,0.7,317.8124955,38.56641043,3.593520605,4.572870728,-9999,362771.4007,-0.191467285,-0.311630249,-1.160812378,362771.3957,0.02456312,-0.188204454,0.166664628,0.623886228,0.263715655,-0.473419219,-0.16800563,0.03585875,-0.216801584,XArbitraryZVertical,0.08401137,-0.092612561,0.004363947,0.992142101,-0.184502885,-0.165894121,-0.968730032,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,9,0.9103349,0.8229022,1.776166,6.15759,0,0,2023-02-22T18:09:14.073-08:00,0,0,0,0,1,0.2,0
2023-02-22T18:09:14.273-08:00,1677118154,34.05930751,-118.4488229,97.85378,1.03,0.7,313.945308,40.08262022,3.593520635,4.572870705,-9999,362771.4358,-0.09034729,-0.269485474,-1.297225952,362771.4257,0.018482524,-0.180177655,0.179388643,0.390381098,0.22924608,-0.131448165,0.014692307,-0.16811429,-0.243874192,XArbitraryZVertical,0.090035097,-0.088777122,0.001108288,0.991973395,-0.176328659,-0.178428054,-0.968024611,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,9,0.9103349,0.8229022,1.776166,6.15759,0,0,2023-02-22T18:09:14.073-08:00,0,0,0,0,1,0.2,0
2023-02-22T18:09:14.308-08:00,1677118154,34.05930751,-118.4488229,97.85378,1.03,0.7,313.945308,40.08262022,3.593520635,4.572870705,-9999,362771.4708,-0.096572876,-0.097381592,-1.075622559,362771.4558,0.018349719,-0.175185699,0.195092015,0.615175188,0.144726738,-0.141355157,0.059549749,-0.025259405,-0.296619892,XArbitraryZVertical,0.097812713,-0.086171227,0.000576584,0.991467107,-0.170984671,-0.193856806,-0.966014385,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,9,0.9103349,0.8229022,1.776166,6.15759,0,0,2023-02-22T18:09:14.073-08:00,0,0,0,0,1,0.2,0
2023-02-22T18:09:14.344-08:00,1677118154,34.05930751,-118.4488229,97.85378,1.03,0.7,313.945308,40.08262022,3.593520635,4.572870705,-9999,362771.5058,-0.033782959,-0.130691528,-0.89151001,362771.4858,0.016932221,-0.17023234,0.223135325,1.215473294,0.183395624,-0.252241105,0.062519729,0.120198831,-0.091088116,XArbitraryZVertical,0.111644566,-0.083542694,-0.00108183,0.990229757,-0.165211365,-0.221288294,-0.961112201,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,9,0.9103349,0.8229022,1.776166,6.15759,0,0,2023-02-22T18:09:14.073-08:00,0,0,0,0,1,0.2,0
2023-02-22T18:09:14.379-08:00,1677118154,34.05930751,-118.4488229,97.85378,1.03,0.7,313.945308,40.08262022,3.593520635,4.572870705,-9999,362771.5408,-0.054107666,-0.193099976,-0.861480713,362771.5158,0.014451908,-0.161910191,0.263568886,1.325857162,0.357547462,-0.388393462,0.121853799,0.129836321,0.061329126,XArbitraryZVertical,0.131548803,-0.079217007,-0.003486098,0.988133375,-0.155636758,-0.260527849,-0.952839136,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,9,0.9103349,0.8229022,1.776166,6.15759,0,0,2023-02-22T18:09:14.073-08:00,0,0,0,0,1,0.2,0
2023-02-22T18:09:14.414-08:00,1677118154,34.05930751,-118.4488229,97.85378,1.03,0.7,313.945308,40.08262022,3.593520635,4.572870705,-9999,362771.5759,-0.020462036,-0.276687622,-0.883972168,362771.5459,0.007464255,-0.144510182,0.30510593,1.373747349,0.637963951,-0.483676732,0.073391914,0.129404217,0.099878967,XArbitraryZVertical,0.151830675,-0.070787662,-0.007291245,0.985841475,-0.137356758,-0.300394207,-0.943873107,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,9,0.9103349,0.8229022,1.776166,6.15759,0,0,2023-02-22T18:09:14.073-08:00,0,0,0,0,1,0.2,0
2023-02-22T18:09:14.449-08:00,1677118154,34.05930751,-118.4488229,97.85378,1.03,0.7,313.945308,40.08262022,3.593520635,4.572870705,-9999,362771.6109,-0.070510864,-0.378585815,-0.700958252,362771.6059,-0.00132002,-0.105592276,0.387283912,1.00278759,0.526079178,-0.286598355,0.077326685,0.057637036,0.177876413,XArbitraryZVertical,0.192131684,-0.051912125,-0.010801824,0.979935694,-0.097590342,-0.377674878,-0.920781076,0,0,0,-1,-1,362768.6732,unknown,2,2023-02-22T18:09:11.511-08:00,2023-02-22T18:09:11.156-08:00,9,0.9103349,0.8229022,1.776166,6.15759,0,0,2023-02-22T18:09:14.073-08:00,0,0,0,0,1,0.2,0
